form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,overabundance_tag,source,page,language_id
vaiphei114,mu,2.sg.1.pl.excl.fut.neg,ei mu puan la,ei Σ puan la,ei+Σ+pua+n+la,ei Σ p ua n l a,ei + Σ + p ua + n + l a,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei115,mu,2.pl.1.sg.fut.neg,ei hun mu lo di lahiu,ei hun Σ lo di lahiu,ei+hun+Σ+lo+di+la+hi+u,ei h u n Σ l ou d i l a h i u,ei + h u n + Σ + l ou + d i + l a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei116,mu,2.pl.1.sg.fut.neg,ei hun mu puan lau,ei hun Σ puan lau,ei+hun+Σ+pua+n+la+u,ei h u n Σ p ua n l a u,ei + h u n + Σ + p ua + n + l a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei117,mu,2.pl.1.sg.fut.neg,ei mu lo di lahiu,ei Σ lo di lahiu,ei+Σ+lo+di+la+hi+u,ei Σ l ou d i l a h i u,ei + Σ + l ou + d i + l a + h i + u,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei118,mu,2.pl.1.sg.fut.neg,ei mu puan lau,ei Σ puan lau,ei+Σ+pua+n+la+u,ei Σ p ua n l a u,ei + Σ + p ua + n + l a + u,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei119,mu,2.pl.1.pl.excl.fut.neg,ei hun mu lo di lahiu,ei hun Σ lo di lahiu,ei+hun+Σ+lo+di+la+hi+u,ei h u n Σ l ou d i l a h i u,ei + h u n + Σ + l ou + d i + l a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei120,mu,2.pl.1.pl.excl.fut.neg,ei hun mu puan lau,ei hun Σ puan lau,ei+hun+Σ+pua+n+la+u,ei h u n Σ p ua n l a u,ei + h u n + Σ + p ua + n + l a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei121,mu,2.pl.1.pl.excl.fut.neg,ei mu lo di lahiu,ei Σ lo di lahiu,ei+Σ+lo+di+la+hi+u,ei Σ l ou d i l a h i u,ei + Σ + l ou + d i + l a + h i + u,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei122,mu,2.pl.1.pl.excl.fut.neg,ei mu puan lau,ei Σ puan lau,ei+Σ+pua+n+la+u,ei Σ p ua n l a u,ei + Σ + p ua + n + l a + u,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei123,mu,2.sg.3.sg.fut.neg,mu lo di lahi,Σ lo di lahi,Σ+lo+di+la+hi,Σ l ou d i l a h i,Σ + l ou + d i + l a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei124,mu,2.sg.3.sg.fut.neg,mu puan la,Σ puan la,Σ+pua+n+la,Σ p ua n l a,Σ + p ua + n + l a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei125,mu,2.sg.3.pl.fut.neg,mu lo di lahi,Σ lo di lahi,Σ+lo+di+la+hi,Σ l ou d i l a h i,Σ + l ou + d i + l a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei126,mu,2.sg.3.pl.fut.neg,mu puan la,Σ puan la,Σ+pua+n+la,Σ p ua n l a,Σ + p ua + n + l a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei127,mu,2.pl.3.sg.fut.neg,mu lo di lahiu,Σ lo di lahiu,Σ+lo+di+la+hi+u,Σ l ou d i l a h i u,Σ + l ou + d i + l a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei128,mu,2.pl.3.sg.fut.neg,mu puan lau,Σ puan lau,Σ+pua+n+la+u,Σ p ua n l a u,Σ + p ua + n + l a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei129,mu,2.pl.3.pl.fut.neg,mu lo di lahiu,Σ lo di lahiu,Σ+lo+di+la+hi+u,Σ l ou d i l a h i u,Σ + l ou + d i + l a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei130,mu,2.pl.3.pl.fut.neg,mu puan lau,Σ puan lau,Σ+pua+n+la+u,Σ p ua n l a u,Σ + p ua + n + l a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei131,chia,3.sg.fut.neg,chia lo di ahi,Σ lo di ahi,Σ+lo+di+a+hi,Σ l ou d i a h i,Σ + l ou + d i + a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei132,chia,3.sg.fut.neg,chia puan a,Σ puan a,Σ+pua+n+a,Σ p ua n a,Σ + p ua + n + a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei133,chia,3.pl.fut.neg,chia lo di ahiu,Σ lo di ahiu,Σ+lo+di+a+hi+u,Σ l ou d i a h i u,Σ + l ou + d i + a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei134,chia,3.pl.fut.neg,chia puan au,Σ puan au,Σ+pua+n+a+u,Σ p ua n a u,Σ + p ua + n + a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei135,mu,3.sg.1.sg.fut.neg,ei hun mu lo di ahi,ei hun Σ lo di ahi,ei+hun+Σ+lo+di+a+hi,ei h u n Σ l ou d i a h i,ei + h u n + Σ + l ou + d i + a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei136,mu,3.sg.1.sg.fut.neg,ei hun mu puan a,ei hun Σ puan a,ei+hun+Σ+pua+n+a,ei h u n Σ p ua n a,ei + h u n + Σ + p ua + n + a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei137,mu,3.sg.1.sg.fut.neg,ei mu lo di ahi,ei Σ lo di ahi,ei+Σ+lo+di+a+hi,ei Σ l ou d i a h i,ei + Σ + l ou + d i + a + h i,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei138,mu,3.sg.1.sg.fut.neg,ei mu puan a,ei Σ puan a,ei+Σ+pua+n+a,ei Σ p ua n a,ei + Σ + p ua + n + a,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei139,mu,3.sg.1.pl.excl.fut.neg,ei hun mu lo di ahi,ei hun Σ lo di ahi,ei+hun+Σ+lo+di+a+hi,ei h u n Σ l ou d i a h i,ei + h u n + Σ + l ou + d i + a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei140,mu,3.sg.1.pl.excl.fut.neg,ei hun mu puan a,ei hun Σ puan a,ei+hun+Σ+pua+n+a,ei h u n Σ p ua n a,ei + h u n + Σ + p ua + n + a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei141,mu,3.sg.1.pl.excl.fut.neg,ei mu lo di ahi,ei Σ lo di ahi,ei+Σ+lo+di+a+hi,ei Σ l ou d i a h i,ei + Σ + l ou + d i + a + h i,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei142,mu,3.sg.1.pl.excl.fut.neg,ei mu puan a,ei Σ puan a,ei+Σ+pua+n+a,ei Σ p ua n a,ei + Σ + p ua + n + a,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei143,mu,3.sg.1.pl.incl.fut.neg,ei hun mu lo di ahi,ei hun Σ lo di ahi,ei+hun+Σ+lo+di+a+hi,ei h u n Σ l ou d i a h i,ei + h u n + Σ + l ou + d i + a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei144,mu,3.sg.1.pl.incl.fut.neg,ei hun mu puan a,ei hun Σ puan a,ei+hun+Σ+pua+n+a,ei h u n Σ p ua n a,ei + h u n + Σ + p ua + n + a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei145,mu,3.sg.1.pl.incl.fut.neg,ei mu lo di ahi,ei Σ lo di ahi,ei+Σ+lo+di+a+hi,ei Σ l ou d i a h i,ei + Σ + l ou + d i + a + h i,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei146,mu,3.sg.1.pl.incl.fut.neg,ei mu puan a,ei Σ puan a,ei+Σ+pua+n+a,ei Σ p ua n a,ei + Σ + p ua + n + a,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei147,mu,3.pl.1.sg.fut.neg,ei hun mu lo di ahiu,ei hun Σ lo di ahiu,ei+hun+Σ+lo+di+a+hi+u,ei h u n Σ l ou d i a h i u,ei + h u n + Σ + l ou + d i + a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei148,mu,3.pl.1.sg.fut.neg,ei hun mu puan au,ei hun Σ puan au,ei+hun+Σ+pua+n+a+u,ei h u n Σ p ua n a u,ei + h u n + Σ + p ua + n + a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei149,mu,3.pl.1.sg.fut.neg,ei mu lo di ahiu,ei Σ lo di ahiu,ei+Σ+lo+di+a+hi+u,ei Σ l ou d i a h i u,ei + Σ + l ou + d i + a + h i + u,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei150,mu,3.pl.1.sg.fut.neg,ei mu puan au,ei Σ puan au,ei+Σ+pua+n+a+u,ei Σ p ua n a u,ei + Σ + p ua + n + a + u,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei151,mu,3.pl.1.pl.excl.fut.neg,ei hun mu lo di ahiu,ei hun Σ lo di ahiu,ei+hun+Σ+lo+di+a+hi+u,ei h u n Σ l ou d i a h i u,ei + h u n + Σ + l ou + d i + a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei152,mu,3.pl.1.pl.excl.fut.neg,ei hun mu puan au,ei hun Σ puan au,ei+hun+Σ+pua+n+a+u,ei h u n Σ p ua n a u,ei + h u n + Σ + p ua + n + a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei153,mu,3.pl.1.pl.excl.fut.neg,ei mu lo di ahiu,ei Σ lo di ahiu,ei+Σ+lo+di+a+hi+u,ei Σ l ou d i a h i u,ei + Σ + l ou + d i + a + h i + u,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
